year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_per_flight,total_delay
2022,7,AA,ONT,218.0,77.0,29.38,2.8,7.39,0.16,37.26,4.0,0.0,4490.0,1601.0,282.0,330.0,10.0,2267.0,20.50228310502283,4480.0
2022,7,AA,ORF,212.0,79.0,25.41,3.02,15.51,0.18,34.87,7.0,1.0,4655.0,1371.0,413.0,557.0,9.0,2305.0,21.854460093896712,4646.0
2022,7,AA,PNS,135.0,62.0,30.41,1.0,8.78,0.04,21.78,3.0,0.0,5459.0,2366.0,261.0,653.0,7.0,2172.0,40.13970588235294,5452.0
2022,7,AA,PSP,62.0,22.0,11.18,0.0,2.32,0.0,8.51,1.0,0.0,1047.0,526.0,0.0,59.0,0.0,462.0,16.61904761904762,1047.0
2022,7,AA,PVD,166.0,67.0,22.4,3.3,8.84,0.0,32.45,14.0,0.0,5131.0,1323.0,381.0,337.0,0.0,3090.0,30.724550898203592,5131.0
2022,7,AA,PWM,144.0,40.0,11.97,1.23,5.85,0.0,20.95,3.0,0.0,3182.0,883.0,76.0,239.0,0.0,1984.0,21.944827586206898,3182.0
2022,7,AA,RAP,36.0,15.0,5.19,0.0,6.41,0.0,3.4,0.0,0.0,1070.0,321.0,0.0,219.0,0.0,530.0,28.91891891891892,1070.0
2022,7,AA,RNO,181.0,43.0,24.45,0.1,2.87,0.82,14.76,3.0,2.0,2180.0,1231.0,7.0,166.0,32.0,744.0,11.978021978021978,2148.0
2022,7,AA,ROC,67.0,25.0,9.49,0.74,2.49,0.0,12.28,3.0,0.0,2767.0,1685.0,119.0,122.0,0.0,841.0,40.69117647058823,2767.0
2022,7,AA,SAV,139.0,48.0,12.38,2.71,12.46,0.0,20.45,4.0,1.0,3691.0,887.0,405.0,583.0,0.0,1816.0,26.364285714285714,3691.0
2022,7,AA,SBA,123.0,21.0,10.95,0.0,1.31,0.0,8.74,3.0,1.0,1202.0,654.0,0.0,46.0,0.0,502.0,9.693548387096774,1202.0
2022,7,AA,SDF,87.0,30.0,2.88,2.91,6.77,0.0,17.45,11.0,0.0,2560.0,273.0,195.0,237.0,0.0,1855.0,29.09090909090909,2560.0
2022,7,AA,SJC,124.0,39.0,19.51,0.0,3.23,0.0,16.26,1.0,0.0,2474.0,1248.0,0.0,99.0,0.0,1127.0,19.792,2474.0
2022,7,AA,SRQ,155.0,49.0,13.49,0.69,17.03,0.0,17.79,6.0,1.0,2659.0,858.0,35.0,569.0,0.0,1197.0,17.044871794871796,2659.0
2022,7,AA,STT,187.0,40.0,12.07,1.61,17.98,0.19,8.15,3.0,3.0,2071.0,817.0,31.0,712.0,4.0,507.0,11.01595744680851,2067.0
2022,7,AA,STX,67.0,17.0,5.76,0.04,0.25,0.0,10.95,0.0,0.0,741.0,209.0,2.0,13.0,0.0,517.0,10.897058823529411,741.0
2022,7,AA,SYR,136.0,62.0,22.78,1.04,11.57,0.61,26.0,4.0,0.0,3566.0,1396.0,59.0,501.0,11.0,1599.0,26.029197080291972,3555.0
2022,7,AA,TUL,203.0,71.0,22.41,3.47,13.6,0.0,31.53,2.0,0.0,3982.0,1269.0,175.0,687.0,0.0,1851.0,19.519607843137255,3982.0
2022,7,AA,TUS,248.0,64.0,28.56,0.29,8.21,0.0,26.94,12.0,0.0,3996.0,1662.0,24.0,392.0,0.0,1918.0,16.048192771084338,3996.0
2022,7,AA,VPS,201.0,62.0,26.97,2.82,10.43,0.0,21.78,10.0,0.0,4777.0,1636.0,246.0,361.0,0.0,2534.0,23.64851485148515,4777.0
2022,7,AA,XNA,31.0,5.0,2.36,0.0,2.64,0.0,0.0,1.0,0.0,307.0,216.0,0.0,91.0,0.0,0.0,9.59375,307.0
2022,7,AS,ABQ,49.0,9.0,1.83,0.0,3.94,0.0,3.23,0.0,1.0,220.0,56.0,0.0,93.0,0.0,71.0,4.4,220.0
2022,7,AS,ADK,9.0,1.0,0.94,0.0,0.06,0.0,0.0,0.0,0.0,235.0,222.0,0.0,13.0,0.0,0.0,23.5,235.0
2022,7,AS,ADQ,124.0,14.0,3.53,3.07,4.12,0.0,3.27,4.0,1.0,825.0,143.0,267.0,161.0,0.0,254.0,6.6,825.0
2022,7,AS,AKN,72.0,17.0,4.69,0.91,9.71,0.0,1.68,0.0,0.0,760.0,300.0,85.0,336.0,0.0,39.0,10.41095890410959,760.0
2022,7,AS,ATL,123.0,12.0,5.8,0.0,5.2,0.0,1.0,0.0,0.0,663.0,478.0,0.0,169.0,0.0,16.0,5.346774193548387,663.0
2022,7,AS,AUS,256.0,53.0,18.25,0.0,24.94,0.0,9.81,0.0,0.0,2146.0,1010.0,0.0,794.0,0.0,342.0,8.350194552529183,2146.0
2022,7,AS,BET,62.0,10.0,3.47,0.0,3.7,0.0,2.83,0.0,0.0,376.0,142.0,0.0,91.0,0.0,143.0,5.968253968253968,376.0
2022,7,AS,BNA,59.0,12.0,2.0,0.0,3.77,0.0,6.23,0.0,0.0,328.0,94.0,0.0,96.0,0.0,138.0,5.466666666666667,328.0
2022,7,AS,BOI,61.0,15.0,8.11,0.0,4.09,0.0,2.8,0.0,0.0,785.0,582.0,0.0,105.0,0.0,98.0,12.661290322580646,785.0
